idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt,spec_instr_adv.keys,spec_instr_adv.rt,spec_instr_adv2.keys,spec_instr_adv2.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,steps,fams,face_file,cond,instr,term,key_map,attnKeyResp1.keys,attnKeyResp1.rt,q1.thisRepN,q1.thisTrialN,q1.thisN,q1.thisIndex,q1.ran,attnKeyResp2.keys,attnKeyResp2.rt,q2.thisRepN,q2.thisTrialN,q2.thisN,q2.thisIndex,q2.ran,attnKeyResp3.keys,attnKeyResp3.rt,q3.thisRepN,q3.thisTrialN,q3.thisN,q3.thisIndex,q3.ran,practiceStart.keys,practiceStart.rt,practiceResp.keys,practiceResp.rt,timesRedone,practiceRepeat.thisRepN,practiceRepeat.thisTrialN,practiceRepeat.thisN,practiceRepeat.thisIndex,practiceRepeat.ran,attrRating.keys,attrRating.rt,practiceTrial.thisRepN,practiceTrial.thisTrialN,practiceTrial.thisN,practiceTrial.thisIndex,practiceTrial.ran,key_resp_3.keys,key_resp_3.rt,attnChecker.thisRepN,attnChecker.thisTrialN,attnChecker.thisN,attnChecker.thisIndex,attnChecker.ran,faceOnsetTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,repeat_loop.order,catResp.keys,catResp.rt,globalTimesRedone,catAllKeys.keys,catAllKeys.rt,contResp.keys,contResp.rt
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,3,2,img/B02_03.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.2851,,,,,,,,,,,,,,0,0,0,14,1,,,,,,,,,,,,,space,4.6604
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,6,8,img/B08_06.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.6837,0,1,1,83,1,109,0,0,0,0,1,98,,,,,,,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,"[""k""]",[1.1820000000000164],0,"[""k""]",[1.1820000000000164],,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,6,8,img/B08_06.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.3693,,,,,,,,,,,,,,0,1,1,83,1,,,,,,,,,,,,,space,4.317
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,3,1,img/B01_03.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.4333,0,2,2,3,1,109,0,0,0,0,1,98,,,,,,,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,"[""k""]",[1.359200000017836],0,"[""k""]",[1.359300000011899],,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,3,1,img/B01_03.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.927,,,,,,,,,,,,,,0,2,2,3,1,,,,,,,,,,,,,space,2.4672
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,4,1,img/B01_04.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.8826,0,3,3,4,1,109,0,0,0,0,1,98,,,,,,,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,"[""k""]",[1.0985999999940077],0,"[""k""]",[1.0985999999940077],,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,4,1,img/B01_04.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.5006,,,,,,,,,,,,,,0,3,3,4,1,,,,,,,,,,,,,space,2.7037
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,3,8,img/B08_03.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.1495,0,4,4,80,1,109,0,0,0,0,1,98,,,,,,,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,"[""j""]",[1.280099999994036],0,"[""j""]",[1.280099999994036],,
,,,,722437,001,2023-08-08_23h18.10.249,fluency,2022.2.4,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,3,8,img/B08_03.jpg,MF,Press J if the face is FEMALE and K if the face is MALE, ,KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.388,,,,,,,,,,,,,,0,4,4,80,1,109,,,,,,,,,,,,,
