idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
558fa9dffdf99b7ce2924662,1,[666.5079000000356],[666.5267000000476],476201,001,2023-05-01_21h38.05.416,fluency,2022.2.5,Win32,29.87036263,,,,,,,,,,,,,
,,,,476201,001,2023-05-01_21h38.05.416,fluency,2022.2.5,Win32,29.87036263,space,34.7946,,,,,,,,,,,
,,,,476201,001,2023-05-01_21h38.05.416,fluency,2022.2.5,Win32,29.87036263,,,space,14.1486,,,,,,,,,
,,,,476201,001,2023-05-01_21h38.05.416,fluency,2022.2.5,Win32,29.87036263,,,,,0.2,-0.367361111,1,0,0,40.9114,iAgree,,
,,,,476201,001,2023-05-01_21h38.05.416,fluency,2022.2.5,Win32,29.87036263,,,,,,,,,,,,space,22.0305
