idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
5a3bdd2c8d005a0001829f3e,1,[10.716000000000001],[10.716000000000001],660228,001,2023-05-01_18h53.02.647,fluency,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,
,,,,660228,001,2023-05-01_18h53.02.647,fluency,2022.2.5,Win32,60.08532116,space,1.3146,,,,,,,,,,,
,,,,660228,001,2023-05-01_18h53.02.647,fluency,2022.2.5,Win32,60.08532116,,,space,6.0074,,,,,,,,,
,,,,660228,001,2023-05-01_18h53.02.647,fluency,2022.2.5,Win32,60.08532116,,,,,0.262037037,-0.32037037,1,0,0,7.3853,iAgree,,
,,,,660228,001,2023-05-01_18h53.02.647,fluency,2022.2.5,Win32,60.08532116,,,,,,,,,,,,space,19.2231
