idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
613ecc6237e3e4dd76a14605,1,[43.61700000000001],[43.61700000000001],539516,001,2023-05-01_13h04.19.697,fluency,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,
,,,,539516,001,2023-05-01_13h04.19.697,fluency,2022.2.5,MacIntel,62.5,space,5.868,,,,,,,,,,,
,,,,539516,001,2023-05-01_13h04.19.697,fluency,2022.2.5,MacIntel,62.5,,,space,6.482,,,,,,,,,
,,,,539516,001,2023-05-01_13h04.19.697,fluency,2022.2.5,MacIntel,62.5,,,,,0.332953559,-0.313067424,1,0,0,18.275,iAgree,,
,,,,539516,001,2023-05-01_13h04.19.697,fluency,2022.2.5,MacIntel,62.5,,,,,,,,,,,,space,18.955
