idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
6160cbce61d0279a207ce980,1,[31.501500000000007],[31.501700000000184],821659,001,2023-05-01_21h06.13.974,fluency,2022.2.5,Win32,60.36095853,,,,,,,,,,,,,
,,,,821659,001,2023-05-01_21h06.13.974,fluency,2022.2.5,Win32,60.36095853,space,5.1342,,,,,,,,,,,
,,,,821659,001,2023-05-01_21h06.13.974,fluency,2022.2.5,Win32,60.36095853,,,space,1.3787,,,,,,,,,
,,,,821659,001,2023-05-01_21h06.13.974,fluency,2022.2.5,Win32,60.36095853,,,,,0.30015083,-0.322021116,1,0,0,7.0609,iAgree,,
,,,,821659,001,2023-05-01_21h06.13.974,fluency,2022.2.5,Win32,60.36095853,,,,,,,,,,,,space,4.9285
