idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
5f600669b846780f0fe45709,1,[1.602099999904631],[1.6022000000476844],409133,001,2023-05-02_01h37.33.317,fluency,2022.2.5,Win32,59.77643613,,,,,,,,,,,,,
,,,,409133,001,2023-05-02_01h37.33.317,fluency,2022.2.5,Win32,59.77643613,space,0.8735,,,,,,,,,,,
,,,,409133,001,2023-05-02_01h37.33.317,fluency,2022.2.5,Win32,59.77643613,,,space,0.8343,,,,,,,,,
,,,,409133,001,2023-05-02_01h37.33.317,fluency,2022.2.5,Win32,59.77643613,,,,,0.265740741,-0.347222222,1,0,0,2.6741,iAgree,,
,,,,409133,001,2023-05-02_01h37.33.317,fluency,2022.2.5,Win32,59.77643613,,,,,,,,,,,,space,0.6801
