cond,face_file,key_map,instr,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,text.started,instr_advance.started,instr_advance.keys,instr_advance.rt,specific_instructions.started,spec_instr_adv.started,spec_instr_adv.keys,spec_instr_adv.rt,text_2.started,text_2.stopped,face_image.started,trial_prompt.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,8.315606299999672,8.315606299999672,space,0.7215857000001051,,,,,,,,,,,,465482,001,2022-11-27_23h28.44.828,fluency,2022.2.4,59.856297002263915,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,0,0,0,2,,,,,,,,,,,,,9.075237699999889,9.075237699999889,space,1.7618072000004759,,,,,,,,465482,001,2022-11-27_23h28.44.828,fluency,2022.2.4,59.856297002263915,
,,,,,,,,,,,,,,,,,,,,,,,,10.862963900000068,13.390556999999717,13.390556999999717,13.390556999999717,13.390556999999717,k,0.37983860000076675,,,,,,,
