idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt
5c7ed8dfe82bf100010fb514,1,[26.705000000000005],[26.70509999999404],970106,001,2023-05-01_20h48.57.671,fluency,2022.2.5,Win32,60.41931001,,,,,,,,,,,,,
,,,,970106,001,2023-05-01_20h48.57.671,fluency,2022.2.5,Win32,60.41931001,space,1.3094,,,,,,,,,,,
,,,,970106,001,2023-05-01_20h48.57.671,fluency,2022.2.5,Win32,60.41931001,,,space,1.7042,,,,,,,,,
,,,,970106,001,2023-05-01_20h48.57.671,fluency,2022.2.5,Win32,60.41931001,,,,,0.270833333,-0.338541667,1,0,0,2.4012,iAgree,,
,,,,970106,001,2023-05-01_20h48.57.671,fluency,2022.2.5,Win32,60.41931001,,,,,,,,,,,,space,1.6022
