idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt,spec_instr_adv.keys,spec_instr_adv.rt,spec_instr_adv2.keys,spec_instr_adv2.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,steps,fams,face_file,cond,instr,term,key_map,attnKeyResp1.keys,attnKeyResp1.rt,q1.thisRepN,q1.thisTrialN,q1.thisN,q1.thisIndex,q1.ran,attnKeyResp2.keys,attnKeyResp2.rt,q2.thisRepN,q2.thisTrialN,q2.thisN,q2.thisIndex,q2.ran,attnKeyResp3.keys,attnKeyResp3.rt,q3.thisRepN,q3.thisTrialN,q3.thisN,q3.thisIndex,q3.ran,practiceStart.keys,practiceStart.rt,practiceResp.keys,practiceResp.rt,timesRedone,practiceRepeat.thisRepN,practiceRepeat.thisTrialN,practiceRepeat.thisN,practiceRepeat.thisIndex,practiceRepeat.ran,attrRating.keys,attrRating.rt,practiceTrial.thisRepN,practiceTrial.thisTrialN,practiceTrial.thisN,practiceTrial.thisIndex,practiceTrial.ran,key_resp_3.keys,key_resp_3.rt,attnChecker.thisRepN,attnChecker.thisTrialN,attnChecker.thisN,attnChecker.thisIndex,attnChecker.ran,catResp.keys,catResp.rt,catAllKeys.keys,catAllKeys.rt,globalTimesRedone,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,contResp.keys,contResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,redo_keypress.keys,redo_keypress.rt,redo_feedback_loop.thisRepN,redo_feedback_loop.thisTrialN,redo_feedback_loop.thisN,redo_feedback_loop.thisIndex,redo_feedback_loop.ran,contResp_2.keys,contResp_2.rt,respQ1.response,respQ1.rt,respQ2.response,respQ2.rt,respQ3.response,respQ3.rt,respQ4.response,respQ4.rt,surveyContinue1.numClicks,surveyContinue1.timesOn,surveyContinue1.timesOff,respQ5.response,respQ5.rt,respQ6.response,respQ6.rt,respQ7.response,respQ7.rt,respQ8.response,respQ8.rt,surveyContinue2.numClicks,surveyContinue2.timesOn,surveyContinue2.timesOff,respQ9.response,respQ9.rt,respQ10.response,respQ10.rt,respQ11.response,respQ11.rt,respQ12.response,respQ12.rt,surveyContinue3.numClicks,surveyContinue3.timesOn,surveyContinue3.timesOff,respQ13.response,respQ13.rt,respQ14.response,respQ14.rt,respQ15.response,respQ15.rt,surveyContinue4.numClicks,surveyContinue4.timesOn,surveyContinue4.timesOff,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,genderResp2.text,demogexitClick.numClicks,demogexitClick.timesOn,demogexitClick.timesOff,textbox.text,openAnswerClick.numClicks,openAnswerClick.timesOn,openAnswerClick.timesOff,debriefEnd.keys,debriefEnd.rt,exitKey.keys,exitKey.rt
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.7302,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.5493,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""j""]",[0.8106999999992297],"[""j""]",[0.8106999999992297],0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,2,3,img/B03_02.jpg,GCNB,Press J if the face is GENDER-CONFORMING and K if the face is NONBINARY,Gender-conforming means that the face appears to be a typical example of its gender. Nonbinary means that the face does not conform to any particular gender norms.,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.5602,,,,,,,,,,,,,,,,,,,,,,,space,6.9588,0,0,0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""j""]",[0.9170999999977596],"[""j""]",[0.9170999999977596],0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,1,4,img/B04_01.jpg,GCNB,Press J if the face is GENDER-CONFORMING and K if the face is NONBINARY,Gender-conforming means that the face appears to be a typical example of its gender. Nonbinary means that the face does not conform to any particular gender norms.,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0938,,,,,,,,,,,,,,,,,,,,,,,space,3.5512,0,1,1,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""k""]",[1.166499999999985],"[""k""]",[1.166499999999985],0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,5,4,img/B04_05.jpg,GCNB,Press J if the face is GENDER-CONFORMING and K if the face is NONBINARY,Gender-conforming means that the face appears to be a typical example of its gender. Nonbinary means that the face does not conform to any particular gender norms.,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0963,,,,,,,,,,,,,,,,,,,,,,,space,2.8406,0,2,2,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""j""]",[1.693699999999268],"[""j""]",[1.693699999999268],0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,042186,001,2023-07-28_02h57.02.615,fluency,2022.2.4,Win32,59.80503558,,,,,,,,,,,,,,,,,,,,,,,10,7,img/B07_10.jpg,GCNB,Press J if the face is GENDER-CONFORMING and K if the face is NONBINARY,Gender-conforming means that the face appears to be a typical example of its gender. Nonbinary means that the face does not conform to any particular gender norms.,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.2914,,,,,,,,,,,,,,,,,,,,,,,space,2.9918,0,3,3,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
